Position, True thickness, Amplitude thickness
nm, nm, nm
, , 5% Noise
 39.900000,  49.954740,  50.076765
 40.000000,  49.964422,  50.053751
 40.100000,  49.972260,  50.034855
 40.200000,  49.978549,  50.025986
 40.300000,  49.983552,  50.015265
 40.400000,  49.987497,  50.014685
 40.500000,  49.990579,  50.031646
 40.600000,  49.992965,  50.073505
 40.700000,  49.994796,  50.115427
 40.800000,  49.996187,  50.123509
 40.900000,  49.997235,  50.121003
 41.000000,  49.998017,  50.082165
 41.100000,  49.998594,  49.878496
 41.200000,  49.999016,  49.810966
 41.300000,  49.999322,  49.884470
 41.400000,  49.999540,  50.077770
 41.500000,  49.999694,  50.106086
 41.600000,  49.999802,  50.029012
 41.700000,  49.999876,  49.945291
 41.800000,  49.999925,  49.903364
 41.900000,  49.999958,  49.884004
 42.000000,  49.999979,  49.863272
 42.100000,  49.999991,  49.807949
 42.200000,  49.999997,  49.695248
 42.300000,  50.000000,  49.643519
 42.400000,  50.000000,  49.703930
 42.500000,  50.000000,  49.975152
 42.600000,  50.000000,  50.247692
 42.700000,  50.000000,  50.395080
 42.800000,  50.000000,  50.526036
 42.900000,  50.000000,  50.635352
 43.000000,  50.000000,  50.684246
 43.100000,  50.000000,  50.697610
 43.200000,  50.000000,  50.579779
 43.300000,  50.000000,  50.366383
 43.400000,  50.000000,  50.215340
 43.500000,  50.000000,  50.179697
 43.600000,  50.000000,  50.187366
 43.700000,  50.000000,  50.152511
 43.800000,  50.000000,  50.124090
 43.900000,  50.000000,  50.127010
 44.000000,  50.000000,  50.151276
 44.100000,  50.000000,  50.246552
 44.200000,  50.000000,  50.288038
 44.300000,  50.000000,  50.288891
 44.400000,  50.000000,  50.269235
 44.500000,  50.000000,  50.251027
 44.600000,  50.000000,  50.243398
 44.700000,  50.000000,  50.237066
 44.800000,  50.000000,  50.226441
 44.900000,  50.000000,  50.200339
 45.000000,  50.000000,  49.089431
 45.100000,  50.000000,  48.675103
 45.200000,  50.000000,  48.667913
 45.300000,  50.000000,  49.047565
 45.400000,  50.000000,  50.279739
 45.500000,  50.000000,  50.343914
 45.600000,  50.000000,  50.279417
 45.700000,  50.000000,  50.104982
 45.800000,  50.000000,  50.084356
 45.900000,  50.000000,  50.170950
 46.000000,  50.000000,  50.628527
 46.100000,  50.000000,  50.677284
 46.200000,  50.000000,  50.680333
