Position, V_true, V_rec, V_fit, V_rec, V_fit
nm, V, V, V, V, V
, , 5% Noise, 5% Noise, 10% Noise, 10% Noise
 22.400000,   0.000719,  -0.025578,  -0.003107,  -0.058479,  -0.024088
 22.500000,   0.000482,  -0.009251,  -0.003542,  -0.079130,  -0.025430
 22.600000,   0.000318,   0.002117,  -0.003859,  -0.092424,  -0.026455
 22.700000,   0.000208,   0.006886,  -0.004089,  -0.099512,  -0.027229
 22.800000,   0.000134,   0.002965,  -0.004253,  -0.106604,  -0.027807
 22.900000,   0.000086,  -0.009161,  -0.004369,  -0.115026,  -0.028235
 23.000000,   0.000054,  -0.022583,  -0.004451,  -0.116857,  -0.028547
 23.100000,   0.000033,  -0.025592,  -0.004507,  -0.101761,  -0.028774
 23.200000,   0.000021,  -0.009259,  -0.004546,  -0.069162,  -0.028936
 23.300000,   0.000012,   0.025525,  -0.004572,  -0.034419,  -0.029050
 23.400000,   0.000007,   0.067290,  -0.004590,  -0.017377,  -0.029131
 23.500000,   0.000004,   0.099391,  -0.004601,  -0.021619,  -0.029187
 23.600000,   0.000003,   0.108246,  -0.004609,  -0.029097,  -0.029225
 23.700000,   0.000001,   0.090165,  -0.004614,  -0.016435,  -0.029251
 23.800000,   0.000001,   0.053015,  -0.004617,   0.021091,  -0.029269
 23.900000,   0.000000,   0.011840,  -0.004619,   0.060078,  -0.029280
 24.000000,   0.000000,  -0.019931,  -0.004620,   0.067704,  -0.029288
 24.100000,   0.000000,  -0.039510,  -0.004621,   0.030041,  -0.029293
 24.200000,   0.000000,  -0.056277,  -0.004622,  -0.035524,  -0.029296
 24.300000,   0.000000,  -0.082065,  -0.004622,  -0.090597,  -0.029298
 24.400000,   0.000000,  -0.117932,  -0.004622,  -0.105044,  -0.029299
 24.500000,   0.000000,  -0.150172,  -0.004622,  -0.079238,  -0.029300
 24.600000,   0.000000,  -0.161398,  -0.004622,  -0.034639,  -0.029301
 24.700000,   0.000000,  -0.146883,  -0.004622,   0.009228,  -0.029301
 24.800000,   0.000000,  -0.118049,  -0.004622,   0.045076,  -0.029301
 24.900000,   0.000000,  -0.090460,  -0.004622,   0.072913,  -0.029301
